CommonName,ZSampleID,SurveyID,SampleDate,Survey,Comments.x,Station,Temp,TopEC,BottomEC,Secchi,Turbidity,Comments.y,Station20mm,Dilution,ZooCode,MeterStart,MeterEnd,totCount,totcells,totCountall,atotal,volume,CPUE,LCDtax,Year
Eurytemora copepodid,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,41,771291,781660,10,2,264,190,4.653395163,40.83040304,EURYJUV,1999
Eurytemora spp.,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,34,771291,781660,16,2,264,304,4.653395163,65.32864486,EURYTEM,1999
Harpacticoids,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,59,771291,781660,2,2,264,38,4.653395163,8.166080607,HARPACT,1999
Ostracods,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,10,771291,781660,1,2,264,19,4.653395163,4.083040304,OSTRAC,1999
Other cyclopoid,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,29,771291,781660,8,2,264,152,4.653395163,32.66432243,OTHCYCAD,1999
Other rotifer,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,2,771291,781660,5,2,264,95,4.653395163,20.41520152,OTHROT,1999
Pseudodiaptomus copepodid,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,42,771291,781660,1,2,264,19,4.653395163,4.083040304,PDIAPJUV,1999
Pseudodiaptomus spp.,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,33,771291,781660,2,2,264,38,4.653395163,8.166080607,OTHCALAD,1999
Sinocalanus,508 1999-04-14,201,4/14/1999,1,NA,508,13.8,210,213,48,NA,NA,508,38,35,771291,781660,44,2,264,836,4.653395163,179.6537734,SINOCAL,1999
Acanthocyclops,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,21,778514,790838,18,2,293,360,5.530759185,65.09052156,AVERNAL,1999
Annelid worms,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,1,778514,790838,7,2,293,140,5.530759185,25.31298061,ANNELID,1999
Bosmina,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,61,778514,790838,60,2,293,1200,5.530759185,216.9684052,BOSMINA,1999
calanoid copepodid,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,40,778514,790838,9,2,293,180,5.530759185,32.54526078,CALJUV,1999
Ceriodaphnia,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,64,778514,790838,1,2,293,20,5.530759185,3.616140087,OTHCLADO,1999
Chironomid larvae,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,3,778514,790838,1,2,293,20,5.530759185,3.616140087,INSECT,1999
copepod nauplii,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,12,778514,790838,4,2,293,80,5.530759185,14.46456035,COPNAUP,1999
cyclopoid copepodid,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,20,778514,790838,71,2,293,1420,5.530759185,256.7459462,CYCJUV,1999
Daphnia,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,62,778514,790838,18,2,293,360,5.530759185,65.09052156,DAPHNIA,1999
Eurytemora copepodid,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,41,778514,790838,38,2,293,760,5.530759185,137.4133233,EURYJUV,1999
Eurytemora spp.,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,34,778514,790838,19,2,293,380,5.530759185,68.70666165,EURYTEM,1999
Harpacticoids,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,59,778514,790838,11,2,293,220,5.530759185,39.77754095,HARPACT,1999
Other cladocera,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,69,778514,790838,15,2,293,300,5.530759185,54.2421013,OTHCLADO,1999
Other cyclopoid,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,29,778514,790838,17,2,293,340,5.530759185,61.47438147,OTHCYCAD,1999
Other rotifer,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,2,778514,790838,1,2,293,20,5.530759185,3.616140087,OTHROT,1999
Sinocalanus,508 1999-04-29,208,4/29/1999,2,NA,508,14.7,184,186,22,NA,NA,508,40,35,778514,790838,3,2,293,60,5.530759185,10.84842026,SINOCAL,1999
Acanthocyclops,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,21,141860,151215,8,2,304,400,4.198332699,95.27591754,AVERNAL,1999
Bosmina,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,61,141860,151215,13,2,304,650,4.198332699,154.823366,BOSMINA,1999
calanoid copepodid,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,40,141860,151215,13,2,304,650,4.198332699,154.823366,CALJUV,1999
copepod nauplii,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,12,141860,151215,12,2,304,600,4.198332699,142.9138763,COPNAUP,1999
cyclopoid copepodid,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,20,141860,151215,11,2,304,550,4.198332699,131.0043866,CYCJUV,1999
Daphnia,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,62,141860,151215,13,2,304,650,4.198332699,154.823366,DAPHNIA,1999
Diaptomus spp.,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,32,141860,151215,1,2,304,50,4.198332699,11.90948969,DIAPTOM,1999
Eurytemora copepodid,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,41,141860,151215,57,2,304,2850,4.198332699,678.8409125,EURYJUV,1999
Eurytemora spp.,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,34,141860,151215,72,2,304,3600,4.198332699,857.4832579,EURYTEM,1999
Harpacticoids,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,59,141860,151215,2,2,304,100,4.198332699,23.81897938,HARPACT,1999
Other cladocera,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,69,141860,151215,2,2,304,100,4.198332699,23.81897938,OTHCLADO,1999
Other cyclopoid,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,29,141860,151215,5,2,304,250,4.198332699,59.54744846,OTHCYCAD,1999
Other rotifer,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,2,141860,151215,6,2,304,300,4.198332699,71.45693815,OTHROT,1999
Pseudodiaptomus copepodid,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,42,141860,151215,20,2,304,1000,4.198332699,238.1897938,PDIAPJUV,1999
Pseudodiaptomus spp.,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,33,141860,151215,11,2,304,550,4.198332699,131.0043866,OTHCALAD,1999
Sinocalanus,508 1999-05-12,213,5/12/1999,3,NA,508,17.1,178,179,54,NA,NA,508,100,35,141860,151215,58,2,304,2900,4.198332699,690.7504022,SINOCAL,1999
Acanthocyclops,508 1999-06-09,224,6/9/1999,5,NA,508,17.9,204,125,42,NA,NA,508,125,21,620266,628921,3,2,364,187.5,3.884187013,48.27264994,AVERNAL,1999
calanoid copepodid,508 1999-06-09,224,6/9/1999,5,NA,508,17.9,204,125,42,NA,NA,508,125,40,620266,628921,6,2,364,375,3.884187013,96.54529989,CALJUV,1999
copepod nauplii,508 1999-06-09,224,6/9/1999,5,NA,508,17.9,204,125,42,NA,NA,508,125,12,620266,628921,23,2,364,1437.5,3.884187013,370.0903162,COPNAUP,1999
cyclopoid copepodid,508 1999-06-09,224,6/9/1999,5,NA,508,17.9,204,125,42,NA,NA,508,125,20,620266,628921,9,2,364,562.5,3.884187013,144.8179498,CYCJUV,1999
Eurytemora copepodid,508 1999-06-09,224,6/9/1999,5,NA,508,17.9,204,125,42,NA,NA,508,125,41,620266,628921,5,2,364,312.5,3.884187013,80.45441657,EURYJUV,1999
Eurytemora spp.,508 1999-06-09,224,6/9/1999,5,NA,508,17.9,204,125,42,NA,NA,508,125,34,620266,628921,1,2,364,62.5,3.884187013,16.09088331,EURYTEM,1999
Harpacticoids,508 1999-06-09,224,6/9/1999,5,NA,508,17.9,204,125,42,NA,NA,508,125,59,620266,628921,1,2,364,62.5,3.884187013,16.09088331,HARPACT,1999
Other cladocera,508 1999-06-09,224,6/9/1999,5,NA,508,17.9,204,125,42,NA,NA,508,125,69,620266,628921,1,2,364,62.5,3.884187013,16.09088331,OTHCLADO,1999
Other cyclopoid,508 1999-06-09,224,6/9/1999,5,NA,508,17.9,204,125,42,NA,NA,508,125,29,620266,628921,2,2,364,125,3.884187013,32.18176663,OTHCYCAD,1999
Pseudodiaptomus copepodid,508 1999-06-09,224,6/9/1999,5,NA,508,17.9,204,125,42,NA,NA,508,125,42,620266,628921,171,2,364,10687.5,3.884187013,2751.541047,PDIAPJUV,1999
Pseudodiaptomus spp.,508 1999-06-09,224,6/9/1999,5,NA,508,17.9,204,125,42,NA,NA,508,125,33,620266,628921,124,2,364,7750,3.884187013,1995.269531,OTHCALAD,1999
Sinocalanus,508 1999-06-09,224,6/9/1999,5,NA,508,17.9,204,125,42,NA,NA,508,125,35,620266,628921,18,2,364,1125,3.884187013,289.6358997,SINOCAL,1999
Acanthocyclops,508 1999-06-23,231,6/23/1999,6,NA,508,20.8,1015,785,20,NA,"Cable shortend due to ""wave action"".  NO dredging allowed.",508,75,21,103165,112114,1,2,201,37.5,4.016128201,9.33735133,AVERNAL,1999
calanoid copepodid,508 1999-06-23,231,6/23/1999,6,NA,508,20.8,1015,785,20,NA,"Cable shortend due to ""wave action"".  NO dredging allowed.",508,75,40,103165,112114,12,2,201,450,4.016128201,112.048216,CALJUV,1999
copepod nauplii,508 1999-06-23,231,6/23/1999,6,NA,508,20.8,1015,785,20,NA,"Cable shortend due to ""wave action"".  NO dredging allowed.",508,75,12,103165,112114,8,2,201,300,4.016128201,74.69881064,COPNAUP,1999
Eurytemora copepodid,508 1999-06-23,231,6/23/1999,6,NA,508,20.8,1015,785,20,NA,"Cable shortend due to ""wave action"".  NO dredging allowed.",508,75,41,103165,112114,1,2,201,37.5,4.016128201,9.33735133,EURYJUV,1999
Harpacticoids,508 1999-06-23,231,6/23/1999,6,NA,508,20.8,1015,785,20,NA,"Cable shortend due to ""wave action"".  NO dredging allowed.",508,75,59,103165,112114,11,2,201,412.5,4.016128201,102.7108646,HARPACT,1999
Pseudodiaptomus copepodid,508 1999-06-23,231,6/23/1999,6,NA,508,20.8,1015,785,20,NA,"Cable shortend due to ""wave action"".  NO dredging allowed.",508,75,42,103165,112114,64,2,201,2400,4.016128201,597.5904851,PDIAPJUV,1999
Pseudodiaptomus spp.,508 1999-06-23,231,6/23/1999,6,NA,508,20.8,1015,785,20,NA,"Cable shortend due to ""wave action"".  NO dredging allowed.",508,75,33,103165,112114,70,2,201,2625,4.016128201,653.6145931,OTHCALAD,1999
Sinocalanus,508 1999-06-23,231,6/23/1999,6,NA,508,20.8,1015,785,20,NA,"Cable shortend due to ""wave action"".  NO dredging allowed.",508,75,35,103165,112114,34,2,201,1275,4.016128201,317.4699452,SINOCAL,1999
calanoid copepodid,508 1999-07-08,238,7/8/1999,7,NA,508,22,940,1226,25,NA,NA,508,125,40,916723,925982,34,2,289,2125,4.155249862,511.4012564,CALJUV,1999
cyclopoid copepodid,508 1999-07-08,238,7/8/1999,7,NA,508,22,940,1226,25,NA,NA,508,125,20,916723,925982,4,2,289,250,4.155249862,60.16485369,CYCJUV,1999
Ostracods,508 1999-07-08,238,7/8/1999,7,NA,508,22,940,1226,25,NA,NA,508,125,10,916723,925982,1,2,289,62.5,4.155249862,15.04121342,OSTRAC,1999
Other cladocera,508 1999-07-08,238,7/8/1999,7,NA,508,22,940,1226,25,NA,NA,508,125,69,916723,925982,2,2,289,125,4.155249862,30.08242685,OTHCLADO,1999
Pseudodiaptomus copepodid,508 1999-07-08,238,7/8/1999,7,NA,508,22,940,1226,25,NA,NA,508,125,42,916723,925982,87,2,289,5437.5,4.155249862,1308.585568,PDIAPJUV,1999
Pseudodiaptomus spp.,508 1999-07-08,238,7/8/1999,7,NA,508,22,940,1226,25,NA,NA,508,125,33,916723,925982,98,2,289,6125,4.155249862,1474.038916,OTHCALAD,1999
Sinocalanus,508 1999-07-08,238,7/8/1999,7,NA,508,22,940,1226,25,NA,NA,508,125,35,916723,925982,63,2,289,3937.5,4.155249862,947.5964457,SINOCAL,1999
calanoid copepodid,508 1999-07-21,243,7/21/1999,8,NA,508,20.1,2353,2725,35,NA,NA,508,50,40,233485,238858,11,1,218,550,2.411292527,228.093437,CALJUV,1999
copepod nauplii,508 1999-07-21,243,7/21/1999,8,NA,508,20.1,2353,2725,35,NA,NA,508,50,12,233485,238858,2,1,218,100,2.411292527,41.47153399,COPNAUP,1999
Other cyclopoid,508 1999-07-21,243,7/21/1999,8,NA,508,20.1,2353,2725,35,NA,NA,508,50,29,233485,238858,2,1,218,100,2.411292527,41.47153399,OTHCYCAD,1999
Pseudodiaptomus copepodid,508 1999-07-21,243,7/21/1999,8,NA,508,20.1,2353,2725,35,NA,NA,508,50,42,233485,238858,40,1,218,2000,2.411292527,829.4306799,PDIAPJUV,1999
Pseudodiaptomus spp.,508 1999-07-21,243,7/21/1999,8,NA,508,20.1,2353,2725,35,NA,NA,508,50,33,233485,238858,157,1,218,7850,2.411292527,3255.515418,OTHCALAD,1999
Sinocalanus,508 1999-07-21,243,7/21/1999,8,NA,508,20.1,2353,2725,35,NA,NA,508,50,35,233485,238858,5,1,218,250,2.411292527,103.678835,SINOCAL,1999
Tortanus,508 1999-07-21,243,7/21/1999,8,NA,508,20.1,2353,2725,35,NA,NA,508,50,38,233485,238858,1,1,218,50,2.411292527,20.735767,TORTANUS,1999
Acanthocyclops,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,21,39718,50921,6,7,274,64.28571429,5.027677309,12.78636443,AVERNAL,2000
Annelid worms,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,1,39718,50921,2,7,274,21.42857143,5.027677309,4.262121475,ANNELID,2000
Bosmina,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,61,39718,50921,9,7,274,96.42857143,5.027677309,19.17954664,BOSMINA,2000
calanoid copepodid,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,40,39718,50921,5,7,274,53.57142857,5.027677309,10.65530369,CALJUV,2000
copepod nauplii,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,12,39718,50921,2,7,274,21.42857143,5.027677309,4.262121475,COPNAUP,2000
cyclopoid copepodid,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,20,39718,50921,129,7,274,1382.142857,5.027677309,274.9068352,CYCJUV,2000
Daphnia,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,62,39718,50921,12,7,274,128.5714286,5.027677309,25.57272885,DAPHNIA,2000
Eurytemora copepodid,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,41,39718,50921,1,7,274,10.71428571,5.027677309,2.131060738,EURYJUV,2000
Harpacticoids,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,59,39718,50921,1,7,274,10.71428571,5.027677309,2.131060738,HARPACT,2000
Limnoithona spp.,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,24,39718,50921,1,7,274,10.71428571,5.027677309,2.131060738,LIMNOSPP,2000
Osphranticum,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,36,39718,50921,2,7,274,21.42857143,5.027677309,4.262121475,OTHCALAD,2000
Other cladocera,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,69,39718,50921,51,7,274,546.4285714,5.027677309,108.6840976,OTHCLADO,2000
Other cyclopoid,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,29,39718,50921,18,7,274,192.8571429,5.027677309,38.35909328,OTHCYCAD,2000
Other rotifer,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,2,39718,50921,32,7,274,342.8571429,5.027677309,68.19394361,OTHROT,2000
Pseudodiaptomus spp.,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,33,39718,50921,1,7,274,10.71428571,5.027677309,2.131060738,OTHCALAD,2000
Sinocalanus,508 2000-03-22,249,3/22/2000,1,NA,508,14.3,179,181,28,NA,NA,508,75,35,39718,50921,2,7,274,21.42857143,5.027677309,4.262121475,SINOCAL,2000
Acanthocyclops,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,21,95355,107462,28,2,282,700,5.433374023,128.833391,AVERNAL,2000
Bosmina,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,61,95355,107462,10,2,282,250,5.433374023,46.01192536,BOSMINA,2000
calanoid copepodid,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,40,95355,107462,5,2,282,125,5.433374023,23.00596268,CALJUV,2000
copepod nauplii,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,12,95355,107462,4,2,282,100,5.433374023,18.40477014,COPNAUP,2000
cyclopoid copepodid,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,20,95355,107462,105,2,282,2625,5.433374023,483.1252163,CYCJUV,2000
Daphnia,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,62,95355,107462,2,2,282,50,5.433374023,9.202385072,DAPHNIA,2000
Diaptomus spp.,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,32,95355,107462,2,2,282,50,5.433374023,9.202385072,DIAPTOM,2000
Eurytemora copepodid,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,41,95355,107462,84,2,282,2100,5.433374023,386.500173,EURYJUV,2000
Eurytemora spp.,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,34,95355,107462,29,2,282,725,5.433374023,133.4345836,EURYTEM,2000
Harpacticoids,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,59,95355,107462,2,2,282,50,5.433374023,9.202385072,HARPACT,2000
Other cladocera,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,69,95355,107462,4,2,282,100,5.433374023,18.40477014,OTHCLADO,2000
Other cyclopoid,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,29,95355,107462,2,2,282,50,5.433374023,9.202385072,OTHCYCAD,2000
Pseudodiaptomus copepodid,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,42,95355,107462,2,2,282,50,5.433374023,9.202385072,PDIAPJUV,2000
Pseudodiaptomus spp.,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,33,95355,107462,1,2,282,25,5.433374023,4.601192536,OTHCALAD,2000
Sinocalanus,508 2000-04-05,255,4/5/2000,2,NA,508,15.6,234,265,40,NA,NA,508,50,35,95355,107462,2,2,282,50,5.433374023,9.202385072,SINOCAL,2000
Acanthocyclops,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,21,806779,819781,7,5,161,140,5.835031721,23.99301438,AVERNAL,2000
Bosmina,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,61,806779,819781,21,5,161,420,5.835031721,71.97904315,BOSMINA,2000
calanoid copepodid,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,40,806779,819781,27,5,161,540,5.835031721,92.54448405,CALJUV,2000
copepod nauplii,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,12,806779,819781,4,5,161,80,5.835031721,13.71029393,COPNAUP,2000
cyclopoid copepodid,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,20,806779,819781,38,5,161,760,5.835031721,130.2477924,CYCJUV,2000
Daphnia,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,62,806779,819781,2,5,161,40,5.835031721,6.855146966,DAPHNIA,2000
Eurytemora copepodid,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,41,806779,819781,16,5,161,320,5.835031721,54.84117573,EURYJUV,2000
Eurytemora spp.,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,34,806779,819781,8,5,161,160,5.835031721,27.42058787,EURYTEM,2000
Harpacticoids,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,59,806779,819781,6,5,161,120,5.835031721,20.5654409,HARPACT,2000
Other cladocera,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,69,806779,819781,4,5,161,80,5.835031721,13.71029393,OTHCLADO,2000
Other cyclopoid,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,29,806779,819781,10,5,161,200,5.835031721,34.27573483,OTHCYCAD,2000
Other rotifer,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,2,806779,819781,2,5,161,40,5.835031721,6.855146966,OTHROT,2000
Pseudodiaptomus copepodid,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,42,806779,819781,3,5,161,60,5.835031721,10.28272045,PDIAPJUV,2000
Pseudodiaptomus spp.,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,33,806779,819781,1,5,161,20,5.835031721,3.427573483,OTHCALAD,2000
Sinocalanus,508 2000-04-19,261,4/19/2000,3,NA,508,16.4,204,210,46,NA,NA,508,100,35,806779,819781,12,5,161,240,5.835031721,41.1308818,SINOCAL,2000
Acanthocyclops,508 2000-05-03,267,5/3/2000,4,NA,508,16.8,320,320,42,NA,NA,508,75,21,56694,70601,9,1,227,675,6.241177214,108.1526733,AVERNAL,2000
Bosmina,508 2000-05-03,267,5/3/2000,4,NA,508,16.8,320,320,42,NA,NA,508,75,61,56694,70601,3,1,227,225,6.241177214,36.05089109,BOSMINA,2000
calanoid copepodid,508 2000-05-03,267,5/3/2000,4,NA,508,16.8,320,320,42,NA,NA,508,75,40,56694,70601,47,1,227,3525,6.241177214,564.7972937,CALJUV,2000
copepod nauplii,508 2000-05-03,267,5/3/2000,4,NA,508,16.8,320,320,42,NA,NA,508,75,12,56694,70601,18,1,227,1350,6.241177214,216.3053465,COPNAUP,2000
cyclopoid copepodid,508 2000-05-03,267,5/3/2000,4,NA,508,16.8,320,320,42,NA,NA,508,75,20,56694,70601,38,1,227,2850,6.241177214,456.6446204,CYCJUV,2000
Daphnia,508 2000-05-03,267,5/3/2000,4,NA,508,16.8,320,320,42,NA,NA,508,75,62,56694,70601,3,1,227,225,6.241177214,36.05089109,DAPHNIA,2000
Eurytemora copepodid,508 2000-05-03,267,5/3/2000,4,NA,508,16.8,320,320,42,NA,NA,508,75,41,56694,70601,32,1,227,2400,6.241177214,384.5428382,EURYJUV,2000
Eurytemora spp.,508 2000-05-03,267,5/3/2000,4,NA,508,16.8,320,320,42,NA,NA,508,75,34,56694,70601,12,1,227,900,6.241177214,144.2035643,EURYTEM,2000
Harpacticoids,508 2000-05-03,267,5/3/2000,4,NA,508,16.8,320,320,42,NA,NA,508,75,59,56694,70601,9,1,227,675,6.241177214,108.1526733,HARPACT,2000
Pseudodiaptomus copepodid,508 2000-05-03,267,5/3/2000,4,NA,508,16.8,320,320,42,NA,NA,508,75,42,56694,70601,20,1,227,1500,6.241177214,240.3392739,PDIAPJUV,2000
Pseudodiaptomus spp.,508 2000-05-03,267,5/3/2000,4,NA,508,16.8,320,320,42,NA,NA,508,75,33,56694,70601,7,1,227,525,6.241177214,84.11874587,OTHCALAD,2000
Sinocalanus,508 2000-05-03,267,5/3/2000,4,NA,508,16.8,320,320,42,NA,NA,508,75,35,56694,70601,29,1,227,2175,6.241177214,348.4919472,SINOCAL,2000
Acanthocyclops,508 2000-05-17,275,5/17/2000,5,NA,508,16.6,225,219,30,NA,NA,508,60,21,340693,354577,4,2,396,120,6.230855285,19.25899327,AVERNAL,2000
Annelid worms,508 2000-05-17,275,5/17/2000,5,NA,508,16.6,225,219,30,NA,NA,508,60,1,340693,354577,2,2,396,60,6.230855285,9.629496635,ANNELID,2000
