"","LCDtax","Taxon","EMP","FRP","Veg","frac1","frac2"
"35","OTHCALAD","Osphrantrichium","OSPHRAN","Osphranticum","Calanoid adult",0.00484908153404824,0.995150918465952
"36","OTHCALAD","Other Calanoid adults","OTHCALAD","Calanoid UNID","Aglaodiaptomus forbesi not_spec",0.00484908153404824,0.995150918465952
"37","OTHCALAD","Tortanus spp.","TORTANUS","Tortanus","Calanoid adult",0.00484908153404824,0.995150918465952
"38","OTHCLADO","Other cladocera genera","OTHCLAD","Cladocera Other","Camptocercus not_spec",0.0894014373131754,0.910598562686825
"39","OTHCLADO","Other cladocera genera","OTHCLAD","Cladocera Other","Chydorus not_spec",0.0894014373131754,0.910598562686825
"40","OTHCLADO","Other cladocera genera","OTHCLAD","Cladocera Other","Picripleuroxus not_spec",0.0894014373131754,0.910598562686825
"41","OTHCLADO","Other cladocera genera","OTHCLAD","Cladocera Other","Pleuroxus not_spec",0.0894014373131754,0.910598562686825
"42","OTHCLADO","Other cladocera genera","OTHCLAD","Cladocera Other","Alonella not_spec",0.0894014373131754,0.910598562686825
"43","OTHCLADO","Other cladocera genera","OTHCLAD","Cladocera Other","Simocephalus not_spec",0.0894014373131754,0.910598562686825
"44","OTHCLADO","Other cladocera genera","OTHCLAD","Cladocera Other","Alona not_spec",0.0894014373131754,0.910598562686825
"45","OTHCLADO","Other cladocera genera","OTHCLAD","Cladocera Other","Graptoleberis not_spec",0.0894014373131754,0.910598562686825
"46","OTHCLADO","Other cladocera genera","OTHCLAD","Cladocera Other","Scaphloberis not_spec",0.0894014373131754,0.910598562686825
"47","OTHCLADO","Ceriodaphnia","CERIODAP","Ceriodaphnia","Ceriodaphnia not_spec",0.0894014373131754,0.910598562686825
"48","OTHCLADO","Other cladocera genera","OTHCLAD","Cladocera Other","Eurycercus not_spec",0.0894014373131754,0.910598562686825
"49","OTHCYCAD","Oithona similis","OITHSIM","Oithona similis","Cyclopoid adult",0.0335390608032963,0.966460939196704
"50","OTHCYCAD","Other Cyclopoid adults","OTHCYC","Cyclopoid Other","Microcyclops rubellus not_spec",0.0335390608032963,0.966460939196704
"51","OTHCYCAD","Other Cyclopoid adults","OTHCYC","Cyclopoid Other","Ectocyclops phaleratus not_spec",0.0335390608032963,0.966460939196704
"52","OTHCYCAD","Other Cyclopoid adults","OTHCYC","Cyclopoid Other","Diacyclops thomasi not_spec",0.0335390608032963,0.966460939196704
"53","OTHCYCAD","Other Cyclopoid adults","OTHCYC","Cyclopoid Other","Eucyclops prionophorus not_spec",0.0335390608032963,0.966460939196704
"54","OTHCYCAD","Other Cyclopoid adults","OTHCYC","Cyclopoid Other","Cyclopoid adult",0.0335390608032963,0.966460939196704
"55","OTHCYCAD","Other Cyclopoid adults","OTHCYC","Cyclopoid Other","Eucyclops agilis not_spec",0.0335390608032963,0.966460939196704
"56","OTHCYCAD","Oithona davisae","OITHDAV","Oithona davisae","Cyclopoid adult",0.0335390608032963,0.966460939196704
"57","OTHCYCAD","Other Cyclopoid adults","OTHCYC","Cyclopoid Other","Mesocyclops edax not_spec",0.0335390608032963,0.966460939196704
"58","OTHCYCAD","Other Cyclopoid adults","OTHCYC","Cyclopoid UNID","Cyclopoid adult",0.0335390608032963,0.966460939196704
"59","OTHCYCAD","Other Cyclopoid adults","OTHCYC","Cyclopoid Other","Eucyclops pectinifer not_spec",0.0335390608032963,0.966460939196704
"60","OTHCYCAD","Other Cyclopoid adults","OTHCYC","Cyclopoid Other","Cyclopoid adult",0.0335390608032963,0.966460939196704
"61","OTHCYCAD","Oithona spp.","OITHSPP","Oithona spp.","Cyclopoid adult",0.0335390608032963,0.966460939196704
"62","OTHCYCAD","Other Cyclopoid adults","OTHCYC","Cyclopoid Other","Eucyclops not_spec",0.0335390608032963,0.966460939196704
"63","other","Barnacle nauplii","BARNNAUP","Barnacle Nauplii",NA,0.104122283874082,0.895877716125918
"64","other","other copepodid","OTHCPDID","Copepod UNID",NA,0.104122283874082,0.895877716125918
"65","other","Cumacians","CUMAC","Cumaceans",NA,0.104122283874082,0.895877716125918
"66","other","Other copepod","OTHCOP","Copepod UNID",NA,0.104122283874082,0.895877716125918
"67","other","Crab zoea","CRABZOEA","crab zoea",NA,0.104122283874082,0.895877716125918
"68","OTHROT","Trichocerca spp.","TRICHO","Trichocerca","Rotifers not_spec",0.986049021787352,0.0139509782126485
"69","OTHROT","Asplanchna spp.","ASPLANCH","Asplanchna","Rotifers not_spec",0.986049021787352,0.0139509782126485
"70","OTHROT","Polyarthra spp.","POLYARTH","Polyarthra","Rotifers not_spec",0.986049021787352,0.0139509782126485
"71","OTHROT","Other rotifers","OTHROT","Rotifer UNID","Rotifers not_spec",0.986049021787352,0.0139509782126485
"72","OTHROT","Synchaeta bicornis","SYNCHBIC","Synchaeta bicornis","Rotifers not_spec",0.986049021787352,0.0139509782126485
"73","OTHROT","Other rotifers","OTHROT","Rotifer Other","Rotifers not_spec",0.986049021787352,0.0139509782126485
"74","OTHROT","Synchaeta spp. (not bicornis)","SYNCH","Synchaeta","Rotifers not_spec",0.986049021787352,0.0139509782126485
"75","OTHROT","Keratella spp.","KERATELA","Keratella","Rotifers not_spec",0.986049021787352,0.0139509782126485
"76","PDIAPFOR","Pseudodiaptomus marinus","PDIAPMAR","Pseudodiaptomus marinus","Pseudodiaptomus forbesi adult",0,1
"77","PDIAPFOR","Pseudodiaptomus forbesi","PDIAPFOR","Pseudodiaptomus forbesii","Pseudodiaptomus forbesi adult",0,1
"78","PDIAPFOR","Pseudodiaptomus forbesi","PDIAPFOR","P. forbesi (gravid)","Pseudodiaptomus forbesi adult",0,1
"79","PDIAPFOR","Pseudodiaptomus forbesi","PDIAPFOR","Pseudodiaptomus spp.","Pseudodiaptomus forbesi adult",0,1
"80","SINOCAL","Sinocalanus doerrii","SINOCAL","Sinocalanus","Sinocalanus doerrii adult",0.00369335307181916,0.996306646928181
